iter	Passed	Remaining
0	12	12862
1	13	6824
2	15	5073
3	16	4087
4	17	3564
5	19	3158
6	20	2846
7	20	2562
8	21	2340
9	22	2195
10	22	2051
11	23	1918
12	23	1810
13	24	1714
14	24	1638
15	25	1563
16	25	1501
17	26	1440
18	27	1405
19	27	1363
20	28	1320
21	28	1287
22	29	1267
23	30	1242
24	31	1212
25	31	1184
26	36	1298
27	37	1304
28	38	1272
29	38	1248
30	39	1226
31	39	1202
32	40	1180
33	40	1158
34	41	1139
35	41	1122
36	42	1105
37	43	1094
38	43	1079
39	44	1069
40	45	1057
41	45	1042
42	46	1028
43	48	1046
44	49	1057
45	50	1045
46	50	1032
47	51	1020
48	51	1007
49	52	995
50	52	984
51	53	974
52	53	963
53	54	953
54	54	943
55	55	933
56	55	925
57	56	916
58	56	908
59	57	900
60	58	893
61	58	887
62	59	880
63	59	872
64	60	865
65	61	869
66	62	870
67	63	869
68	64	864
69	64	858
70	65	851
71	65	845
72	66	843
73	66	837
74	67	832
75	68	828
76	68	825
77	69	824
78	70	826
79	71	822
80	72	817
81	72	811
82	72	804
83	73	799
84	74	799
85	74	794
86	75	790
87	75	786
88	76	784
89	77	782
90	78	785
91	79	785
92	80	783
93	80	780
94	81	777
95	82	776
96	83	774
97	84	779
98	86	784
99	86	782
100	87	780
101	88	779
102	89	776
103	89	772
104	90	772
105	91	771
106	92	769
107	93	768
108	93	765
109	94	762
110	94	759
111	95	756
112	95	752
113	96	749
114	97	748
115	98	748
116	99	748
117	99	745
118	100	742
119	100	739
120	101	738
121	102	734
122	102	731
123	103	728
124	104	732
125	105	734
126	106	731
127	107	730
128	108	731
129	108	729
130	109	726
131	109	723
132	110	720
133	110	717
134	111	714
135	112	711
136	112	709
137	113	706
138	114	709
139	115	706
140	115	704
141	116	703
142	117	702
143	117	700
144	118	697
145	119	696
146	120	696
147	120	694
148	121	694
149	122	691
150	122	689
151	123	686
152	123	683
153	124	681
154	124	679
155	125	679
156	126	677
157	126	676
158	127	676
159	128	674
160	128	671
161	129	669
162	129	667
163	130	665
164	131	663
165	131	660
166	131	658
167	132	656
