iter	RMSE
0	14.25436798
1	13.48519123
2	12.69136431
3	12.06030822
4	11.46273955
5	10.92959285
6	10.3857114
7	9.93168096
8	9.554540282
9	9.167366915
10	8.816609786
11	8.48973837
12	8.1773744
13	7.858856963
14	7.609123315
15	7.379318694
16	7.140249265
17	6.959030868
18	6.786076294
19	6.599010014
20	6.449310707
21	6.315920531
22	6.199628827
23	6.076398518
24	5.957635107
25	5.853659746
26	5.745757675
27	5.647508556
28	5.564808269
29	5.46977889
30	5.396046613
31	5.335717414
32	5.259095226
33	5.203358505
34	5.134793179
35	5.073449702
36	5.010014336
37	4.944212195
38	4.895685961
39	4.861031893
40	4.819027222
41	4.776741194
42	4.744897801
43	4.696057279
44	4.643918075
45	4.612210037
