iter	Passed	Remaining
0	1	107
1	2	102
2	3	103
3	4	101
4	5	99
5	6	97
6	6	92
7	7	89
8	8	85
9	9	83
10	10	81
11	11	82
12	12	82
13	13	84
14	14	83
15	15	81
16	16	79
17	17	79
18	18	77
19	18	74
20	19	72
21	19	70
22	20	69
23	21	67
24	22	66
25	22	64
26	23	63
27	24	62
28	25	62
29	26	61
30	27	60
31	28	59
32	28	57
33	29	56
34	30	56
35	31	55
36	32	54
37	32	53
38	33	52
39	34	51
40	34	50
41	35	49
42	36	48
43	36	47
44	37	45
45	38	45
46	39	44
47	39	42
48	40	41
49	41	41
50	42	40
51	42	39
52	43	38
53	44	38
54	45	37
55	46	36
56	47	35
57	47	34
58	48	33
59	49	32
60	49	31
61	50	30
62	51	30
63	52	29
64	53	28
65	54	27
66	55	27
67	56	26
68	57	25
69	58	25
70	58	24
71	59	23
72	60	22
73	61	21
74	62	20
75	62	19
76	63	18
77	64	18
78	64	17
79	65	16
80	66	15
81	66	14
82	67	13
83	68	13
84	69	12
85	70	11
86	71	10
87	72	9
88	72	8
89	73	8
90	74	7
91	75	6
92	76	5
93	76	4
94	77	4
95	78	3
96	79	2
97	79	1
98	80	0
99	81	0
